Results of 3 bytes, method: ownmethod
0c24b429a7b6578bf5babee48a44027c2c8329aba641a87c388a1e91008b59c2 , 701
5044cc15fdb2ff61f5470f24884f929f21407ff12bf595112b7c87cf63e38d86 , 1148
32e6eaf3ada9a61b7e1347c27e4f0ef3145739c05498a57d21d165814d9b740a , 4870
f7a1b9d0533a853f802c856d6f5cf9c0fccb4e2919714a37b4587733e3d6f081 , 1687
4d36d06a7de6d6fc06fc05a045ad9b12561762260630f9de07d5a5f72bba2029 , 870
cab673e308285affa7f0db1d78c6b1b79f51dc9adeeb9852fc47d259d0979f1f , 4008
519da321e47e5e3f62add7ccc41f3954b5dd826e781ec6066f5ee120a3891c46 , 3939
4cef6bf76a3069c7573abb0bce07c8cfed8da0382713b97dfdda8576ff026e10 , 34
5714b85b0de1195d84f55be1276238fc84ea76ff6a25857acafd79e8ce965d49 , 230
cea7f706d4d40eff2de51e055fccb8f9b65b8539c4fe4a0549f1cebde931532f , 1124
2f426678be8a25863ed6d606be7e010b004e9a0fd2ab6ef3a2e11bf147cafe03 , 1134
b2cff4baf97e3ee99fac34c56aceb896bdb0edd7a9033b447ef7feb911db3b56 , 4287
f60e39858fbc4dd53cbc3ff2c7c59afdf1b325674ee47f30b2e6d4b029620772 , 404
d543ae5f53049fdd39febf02b995aef10899f3069e0969270b1c214939c3e02b , 1135
f3e1d0bcb264d90e19453f4342e031174f99e672962f43a963f9d29130edcfa8 , 492
77ea054d7001fbf8994ae543b0655275fbd6837b89c8a94de8ece0df2c9eb926 , 63
1a1d3c7b5d02457f93d816e4baf7b0e5fa6277c109f7f0c1dddc3886849db392 , 1011
a9e3fb775decf9daa3121b9cbdc80570991613d6c9e0bd2ca4e27e6dbe34baa8 , 554
d5439a6ed1f8191f579c08e6fba1ff851360cdf6df09b6beb861f5def28ad5c9 , 28
e74ffeea34422bc5e371a4b3190da4c47f0aa9858746b5c2c1453fb592c00ac6 , 167
e4727a1b4c9bad1e9d44e5d92fcad841dcd418539af2927958ce1a755388fe65 , 1821
49e8af6b2d226f55d4766d9996b6081d322efc64c8fe44f68da06227a284f1e6 , 834
f3c1ac77b15113c83d4e1c02efdeacd5931a294fa743ea7851f11552a2476c72 , 362
e7ea11c421ade2f702e9581541ea64449deed9907fbd46ccfdd6ce96e5c6cc4c , 914
d11062fd287c9740eca56391855482674509c20708e47646dc3590ceb90e036f , 2326
3f25569f4b6fdb8f190c68eec9454cf8ffd1bcb799903d7e250499a3808cd282 , 52
c9b02117c977a472d57562997115b09b8d4996d0f88ff9820e3ec14be43f78f9 , 774
24a08c4056ef305c9cfdda3dce3cd30a5c64bd0d373c7a772fee2c16d0c2a1c4 , 450
4cc09ed1a39004fb179e6ba1a1b438f2a229a2b0cabd1c02de0cc80c33c7bfc2 , 1666
891b1a95ae3d81323b7573567d377a1d54bf983b470e34a8980f8695709aa66c , 1153
eb80a93e111f58eacab12e483f4e2d5bf87baa1efb698f63cecbef13b6cca1ab , 1609
67c2d8f44c18c404bd0f864f27206505b203f99757bc0a40acddbc612224eb90 , 131
28dc5736a488c969bb129a7d4802e439936ea7bcf67bb2951aca0a57f92ecb9a , 227
